city,course,batch_type,weekly_study_hours,attendance_pct,prev_exam_score,mock_test_3,income_bracket,feedback_text
Chennai,Physics,Evening,,82.5,89.8,56.9,Low,Instructor was very helpful
Pune,Biology,Evening,5.7,90.3,47.3,54.5,Medium,Instructor was very helpful
Delhi,Biology,Weekend,1.8,51.5,40.9,,High,
Chennai,CS,Weekend,34.7,57.2,51.1,69.7,Medium,Need more visual aids
Pune,Physics,Morning,0.3,31.2,,62.2,Medium,Instructor was very helpful
Bangalore,Math,Weekend,,35.1,,59.2,Low,Could use more practice problems
Chennai,Chemistry,Morning,0.4,36.8,,47.6,Medium,"Great course, learned a lot"
Pune,Physics,Weekend,0.5,44.8,54.3,49.8,Medium,Instructor was very helpful
Mumbai,CS,Morning,6.5,67.4,52.4,54.5,Medium,Could use more practice problems
Chennai,Math,Evening,2.7,73.4,67.1,32.5,Medium,Need more visual aids
Delhi,Math,Morning,5.5,50.8,44.5,39.2,Medium,Would recommend to others
Mumbai,CS,Weekend,4.9,73.4,52.5,94.1,High,"Great course, learned a lot"
Mumbai,Physics,Morning,3.1,81.7,61.2,95.4,Medium,Excellent teaching style
Pune,Math,Evening,12.0,53.7,55.6,45.4,Medium,Could use more practice problems
Mumbai,Math,Morning,0.8,36.2,,37.3,Medium,Instructor was very helpful
Pune,Chemistry,Weekend,7.2,43.2,71.7,76.7,Medium,"Great course, learned a lot"
Pune,Physics,Morning,4.1,23.5,,44.9,Low,"Great course, learned a lot"
Bangalore,Math,Evening,8.0,29.5,,54.0,Medium,Excellent teaching style
Delhi,Math,Morning,11.1,27.8,,38.6,High,Would recommend to others
Pune,Chemistry,Weekend,1.9,66.5,48.6,68.3,Low,Excellent teaching style
Mumbai,Chemistry,Evening,7.2,53.5,51.9,64.7,High,Pace was too fast
Delhi,Biology,Morning,36.8,74.3,55.2,55.6,Medium,Could use more practice problems
Mumbai,Chemistry,Weekend,26.3,20.0,,56.9,Low,Could use more practice problems
Mumbai,CS,Weekend,2.1,51.6,61.0,51.6,Medium,Instructor was very helpful
Bangalore,Physics,Weekend,0.5,58.9,56.1,46.6,,Would recommend to others
Delhi,CS,Morning,18.4,56.6,50.1,40.5,Medium,Could use more practice problems
Pune,Physics,Weekend,27.9,53.8,69.6,56.9,Medium,Materials were comprehensive
Pune,Biology,Evening,13.5,91.1,85.4,42.4,High,"Great course, learned a lot"
Mumbai,Physics,Weekend,7.1,87.6,60.0,34.3,Low,Instructor was very helpful
Chennai,Math,Weekend,20.3,26.3,,55.5,High,Instructor was very helpful
Mumbai,Physics,Evening,8.3,29.7,,69.5,Medium,Excellent teaching style
Delhi,Biology,Evening,0.3,59.6,83.4,94.5,Low,Materials were comprehensive
Bangalore,Physics,Weekend,5.6,77.6,70.0,80.7,Medium,Instructor was very helpful
Chennai,Biology,Evening,1.7,66.3,68.0,55.2,Medium,Could use more practice problems
Mumbai,Math,Morning,8.6,22.8,,75.2,Medium,
Chennai,Math,Morning,12.9,75.7,82.0,73.2,High,Need more visual aids
Delhi,CS,Weekend,9.6,80.9,49.9,44.3,Medium,Materials were comprehensive
Chennai,Math,Morning,1.0,54.7,57.5,49.7,Medium,Materials were comprehensive
Mumbai,CS,Morning,12.9,50.8,60.7,47.8,High,
Bangalore,Physics,Morning,12.8,57.0,62.7,66.2,Medium,Excellent teaching style
Bangalore,Chemistry,Morning,8.6,79.0,75.1,39.5,High,Materials were comprehensive
Chennai,Math,Evening,5.5,76.6,58.1,44.4,Medium,Would recommend to others
Bangalore,CS,Weekend,2.7,43.6,64.8,71.5,Low,Instructor was very helpful
Delhi,Chemistry,Weekend,2.1,76.0,75.8,57.4,Medium,"Great course, learned a lot"
Pune,Chemistry,Weekend,1.1,57.4,69.3,74.4,High,
Mumbai,Chemistry,Weekend,0.7,98.4,49.3,74.3,Medium,Would recommend to others
Pune,Chemistry,Evening,18.1,45.8,52.8,,Low,Instructor was very helpful
Mumbai,Math,Morning,3.8,36.1,,,Low,Instructor was very helpful
Chennai,Math,Weekend,6.1,20.0,,,Low,Need more visual aids
Bangalore,CS,Morning,1.2,56.2,75.3,53.7,Low,Need more visual aids
Pune,CS,Morning,4.9,55.5,83.6,45.4,Low,Materials were comprehensive
Pune,Chemistry,Evening,16.2,30.8,,,Low,Excellent teaching style
Pune,Math,Morning,1.1,86.5,60.1,55.1,High,Materials were comprehensive
Delhi,Physics,Evening,60.0,52.0,72.2,,Medium,Need more visual aids
Pune,Math,Morning,,41.7,95.9,,Medium,
Pune,Physics,Weekend,1.0,21.1,,80.4,Medium,Excellent teaching style
Chennai,Math,Weekend,2.5,37.9,,,Medium,Instructor was very helpful
Delhi,CS,Morning,5.1,75.5,52.7,51.3,Medium,Could use more practice problems
Delhi,Physics,Morning,11.9,44.7,57.4,55.8,Medium,Excellent teaching style
Mumbai,Chemistry,Morning,13.8,64.4,59.5,96.8,Low,Pace was too fast
Mumbai,Chemistry,Morning,3.8,23.4,,68.5,,Instructor was very helpful
Bangalore,Biology,Morning,16.2,61.3,57.7,93.0,High,Instructor was very helpful
Pune,Biology,Evening,6.3,44.0,75.9,45.7,Medium,Could use more practice problems
Pune,Math,Morning,16.8,20.1,,55.6,Medium,Pace was too fast
Delhi,Physics,Weekend,4.1,80.1,78.2,,Medium,Materials were comprehensive
Bangalore,Math,Weekend,11.4,20.0,,52.1,Medium,Excellent teaching style
Delhi,Math,Morning,1.5,73.6,54.9,64.1,Low,Could use more practice problems
Chennai,CS,Morning,1.2,44.8,53.8,60.3,Medium,Would recommend to others
Pune,Biology,Morning,34.9,86.9,83.0,,Low,"Great course, learned a lot"
Chennai,Math,Weekend,11.2,90.4,67.6,74.6,Medium,Excellent teaching style
Delhi,CS,Evening,4.5,51.5,59.9,70.3,Low,Could use more practice problems
Delhi,CS,Weekend,21.2,43.5,65.6,80.8,Low,Materials were comprehensive
Chennai,Chemistry,Morning,7.9,80.8,58.7,47.0,,Could use more practice problems
Bangalore,CS,Morning,18.8,78.1,61.6,77.9,Low,Excellent teaching style
Mumbai,Physics,Weekend,0.9,48.2,58.2,40.0,Medium,
Bangalore,Biology,Morning,18.9,56.6,74.9,54.9,High,Could use more practice problems
Pune,Math,Evening,0.5,76.6,79.6,46.6,,Instructor was very helpful
Pune,CS,Weekend,2.5,70.4,72.5,42.5,,Need more visual aids
Mumbai,Biology,Weekend,,45.9,59.2,65.7,Medium,Instructor was very helpful
Mumbai,Math,Morning,16.1,92.1,76.5,48.7,High,Need more visual aids
Mumbai,Chemistry,Weekend,0.3,66.1,65.5,,,Would recommend to others
Delhi,Biology,Evening,3.9,83.4,34.3,,Medium,Could use more practice problems
Delhi,Biology,Evening,0.6,46.3,59.2,,Medium,Excellent teaching style
Pune,Math,Weekend,0.1,42.7,62.4,,Low,"Great course, learned a lot"
Chennai,Math,Evening,9.7,31.9,,66.0,Medium,Pace was too fast
Delhi,CS,Morning,14.3,85.0,86.0,44.5,High,Excellent teaching style
Pune,Chemistry,Morning,20.7,49.3,56.2,34.0,Medium,Instructor was very helpful
Pune,Biology,Evening,1.7,58.3,51.0,43.1,Medium,"Great course, learned a lot"
Delhi,Biology,Weekend,8.9,57.8,93.6,38.6,High,Materials were comprehensive
Chennai,CS,Weekend,20.3,20.0,,,High,"Great course, learned a lot"
Chennai,Physics,Evening,3.7,56.1,54.6,52.9,High,Pace was too fast
Pune,CS,Weekend,4.0,98.6,91.7,43.4,Low,Materials were comprehensive
Chennai,CS,Morning,8.7,79.7,48.1,42.2,Medium,
Mumbai,Biology,Morning,10.9,56.2,88.8,,,Need more visual aids
Pune,Math,Morning,3.5,52.9,54.1,60.9,Medium,Could use more practice problems
Pune,Chemistry,Weekend,5.4,51.2,84.4,61.1,Medium,
Bangalore,Chemistry,Weekend,6.1,27.9,,70.2,Low,Excellent teaching style
Mumbai,Math,Morning,9.4,28.0,,,Low,Excellent teaching style
Pune,Biology,Weekend,,22.8,,87.9,Medium,"Great course, learned a lot"
Bangalore,Physics,Morning,5.9,81.0,57.5,65.2,Medium,Would recommend to others
Delhi,CS,Morning,2.2,60.3,62.4,53.5,,Materials were comprehensive
Pune,Physics,Morning,4.2,40.6,69.3,72.2,High,Materials were comprehensive
Pune,Physics,Morning,12.0,28.0,,91.7,Medium,Could use more practice problems
Bangalore,Math,Evening,6.1,77.4,90.9,48.2,Medium,Need more visual aids
Pune,Biology,Morning,26.5,73.1,40.9,45.7,Low,Pace was too fast
Chennai,Biology,Morning,,63.8,76.1,71.5,Low,
Pune,Biology,Weekend,1.6,94.4,62.3,63.1,High,Could use more practice problems
Pune,CS,Evening,2.7,20.0,,67.5,Low,
Chennai,Chemistry,Morning,3.1,45.2,59.7,53.6,High,Materials were comprehensive
Mumbai,Biology,Weekend,24.1,33.0,,48.0,Medium,Instructor was very helpful
Chennai,Chemistry,Morning,9.8,22.6,,,Medium,Materials were comprehensive
Mumbai,Chemistry,Weekend,13.2,95.2,69.2,,Low,Pace was too fast
Bangalore,Chemistry,Weekend,1.7,76.8,67.8,44.8,Medium,
Mumbai,Physics,Weekend,7.4,57.9,65.4,,Medium,Excellent teaching style
Delhi,CS,Evening,,73.2,67.2,,Medium,Would recommend to others
Pune,Biology,Evening,19.1,90.9,77.8,81.0,Low,Need more visual aids
Pune,Biology,Evening,8.0,42.4,60.4,97.7,Medium,Pace was too fast
Mumbai,Math,Morning,3.2,93.7,54.8,37.2,,Excellent teaching style
Chennai,Chemistry,Weekend,5.1,68.4,87.9,60.1,High,Pace was too fast
Bangalore,CS,Weekend,5.1,59.8,54.6,77.0,Low,Excellent teaching style
Mumbai,Chemistry,Morning,0.8,43.8,65.7,,Medium,Excellent teaching style
Pune,Chemistry,Evening,11.4,29.3,,39.4,Medium,
Chennai,CS,Weekend,1.2,51.9,40.9,52.0,Low,Would recommend to others
Delhi,Chemistry,Weekend,5.1,64.6,48.6,67.3,High,Pace was too fast
Bangalore,Biology,Morning,15.5,51.6,60.1,60.2,Medium,Would recommend to others
Bangalore,CS,Evening,2.3,46.4,58.9,34.7,Medium,Materials were comprehensive
Delhi,CS,Weekend,5.3,32.3,,86.5,Low,Materials were comprehensive
Pune,Physics,Morning,6.0,63.5,55.6,61.3,Low,Would recommend to others
Chennai,Math,Morning,4.9,36.3,,66.8,,"Great course, learned a lot"
Pune,Chemistry,Evening,3.4,31.5,,54.1,Medium,Would recommend to others
Delhi,Physics,Evening,12.9,27.5,,47.9,Medium,Instructor was very helpful
Bangalore,Chemistry,Morning,11.8,51.5,66.3,72.2,Medium,"Great course, learned a lot"
Chennai,Biology,Evening,28.0,83.3,76.2,,Low,"Great course, learned a lot"
Chennai,Math,Evening,15.6,97.8,43.3,49.4,Medium,Materials were comprehensive
Chennai,Math,Evening,6.5,83.0,48.0,100.0,Low,Excellent teaching style
Bangalore,Physics,Evening,19.2,80.8,65.1,63.3,Low,Need more visual aids
Mumbai,CS,Weekend,0.3,39.1,,62.7,Medium,Pace was too fast
Mumbai,Physics,Weekend,2.3,64.0,85.4,36.9,Low,Instructor was very helpful
Mumbai,Chemistry,Morning,1.7,23.7,,,Low,Would recommend to others
Chennai,CS,Evening,0.6,42.6,63.9,69.9,Medium,Materials were comprehensive
Bangalore,Chemistry,Morning,10.1,28.1,,39.3,Medium,Instructor was very helpful
Chennai,Math,Morning,1.5,75.0,57.9,40.5,Medium,Pace was too fast
Bangalore,Biology,Morning,7.7,24.8,,,Low,Need more visual aids
Mumbai,CS,Weekend,,73.3,53.4,42.1,,Instructor was very helpful
Delhi,Chemistry,Morning,4.7,31.3,,,,Could use more practice problems
Pune,Biology,Morning,22.1,72.3,99.1,46.7,Medium,Would recommend to others
Bangalore,Physics,Morning,13.4,61.1,53.0,34.7,Low,"Great course, learned a lot"
Delhi,CS,Weekend,2.8,39.8,,63.3,Low,"Great course, learned a lot"
Delhi,Biology,Weekend,3.7,38.4,,70.6,Low,"Great course, learned a lot"
Chennai,CS,Morning,0.2,87.0,43.5,99.1,Low,Need more visual aids
Chennai,Chemistry,Morning,13.6,59.1,56.0,76.3,Low,Instructor was very helpful
Mumbai,Math,Weekend,3.9,71.5,47.4,58.7,High,Would recommend to others
Chennai,Math,Morning,21.4,70.8,52.5,42.0,Medium,Would recommend to others
Bangalore,Biology,Weekend,2.5,85.5,70.0,52.7,Medium,Would recommend to others
Bangalore,CS,Morning,7.6,38.4,,75.9,Medium,Excellent teaching style
Chennai,CS,Weekend,0.7,95.6,62.7,60.9,Medium,Could use more practice problems
Pune,Physics,Weekend,21.2,20.0,,62.7,Medium,Would recommend to others
Mumbai,Math,Evening,,95.7,75.2,39.4,Medium,Could use more practice problems
Delhi,Biology,Morning,5.9,58.8,73.1,44.5,Medium,Could use more practice problems
Bangalore,Biology,Evening,,84.8,34.1,34.2,Medium,
Mumbai,CS,Morning,9.5,69.1,42.6,,,Would recommend to others
Chennai,Physics,Morning,4.8,47.8,59.1,61.5,,Pace was too fast
Chennai,Biology,Morning,0.3,20.0,,,Low,"Great course, learned a lot"
Delhi,Biology,Evening,1.6,43.2,49.1,46.7,High,Could use more practice problems
Chennai,Math,Morning,24.8,73.3,49.6,70.1,Medium,Materials were comprehensive
Chennai,Biology,Weekend,17.9,66.9,44.1,,Medium,Could use more practice problems
Pune,Physics,Weekend,0.8,68.6,96.6,49.1,Medium,Need more visual aids
Mumbai,Physics,Morning,1.2,90.2,61.4,72.1,Low,"Great course, learned a lot"
Chennai,Chemistry,Morning,0.6,56.1,65.1,66.4,Medium,Pace was too fast
Bangalore,Biology,Weekend,2.8,34.5,,77.8,Low,Instructor was very helpful
Delhi,Math,Weekend,,78.8,63.0,56.0,Low,"Great course, learned a lot"
Pune,Biology,Evening,2.3,84.0,64.6,100.0,High,Need more visual aids
Mumbai,Biology,Evening,4.8,42.0,81.8,37.6,Low,
Pune,Biology,Morning,5.4,94.3,64.5,94.5,Low,
Chennai,Biology,Evening,11.5,63.6,100.0,51.8,Medium,Need more visual aids
Delhi,CS,Evening,15.3,77.3,71.6,56.9,Medium,Would recommend to others
Chennai,Math,Evening,1.6,24.2,,39.5,,Need more visual aids
Mumbai,Math,Evening,18.3,37.6,,74.1,Medium,Would recommend to others
Bangalore,Biology,Morning,10.0,20.0,,67.1,High,Excellent teaching style
Delhi,Math,Weekend,6.6,34.6,,42.6,,Pace was too fast
Delhi,Biology,Weekend,11.3,70.0,50.6,70.1,Medium,Pace was too fast
Bangalore,Chemistry,Evening,0.6,78.4,70.7,67.4,Medium,Pace was too fast
Pune,Math,Morning,3.7,40.9,67.0,41.2,Medium,"Great course, learned a lot"
Delhi,Chemistry,Weekend,6.9,45.6,65.0,49.7,Medium,"Great course, learned a lot"
Chennai,Biology,Morning,1.3,34.5,,73.0,Medium,Need more visual aids
Mumbai,CS,Weekend,0.7,74.1,57.6,36.5,High,Excellent teaching style
Chennai,Math,Weekend,5.4,67.1,62.0,38.2,High,
Bangalore,CS,Weekend,10.4,42.2,47.8,30.6,,Would recommend to others
Mumbai,Chemistry,Weekend,1.4,84.8,79.8,72.8,Medium,Instructor was very helpful
Bangalore,Biology,Evening,34.2,20.0,,46.1,Low,Would recommend to others
Pune,Biology,Morning,6.0,63.6,71.2,31.3,Medium,Need more visual aids
Delhi,CS,Weekend,13.3,59.4,58.1,67.6,Medium,Materials were comprehensive
Delhi,Biology,Morning,2.6,26.6,,46.1,High,Materials were comprehensive
Mumbai,Physics,Weekend,2.6,81.5,78.4,58.3,Low,Need more visual aids
Mumbai,Physics,Evening,1.7,76.0,89.4,89.0,Low,
Pune,Biology,Morning,14.2,93.4,37.4,80.1,High,Instructor was very helpful
Bangalore,Math,Evening,21.6,49.8,65.0,46.9,Low,Excellent teaching style
Bangalore,Physics,Morning,20.2,66.4,42.1,60.3,High,Pace was too fast
Bangalore,Math,Morning,8.2,36.1,,43.9,,Materials were comprehensive
Bangalore,CS,Evening,13.6,71.7,77.9,54.3,,
Pune,Physics,Evening,13.0,61.8,46.8,69.6,Medium,Would recommend to others
Bangalore,Physics,Evening,17.7,74.6,51.5,39.3,Medium,Pace was too fast
Chennai,CS,Morning,2.2,33.2,,74.0,Medium,Excellent teaching style
Chennai,Math,Evening,1.7,63.2,78.0,83.1,Medium,Need more visual aids
Pune,CS,Evening,4.6,70.9,74.0,72.6,Medium,Pace was too fast
Pune,Chemistry,Morning,7.8,94.2,78.7,,High,Materials were comprehensive
Mumbai,CS,Evening,0.6,32.4,,,Medium,Could use more practice problems
Bangalore,Biology,Weekend,3.6,43.7,73.2,57.8,Medium,Instructor was very helpful
Delhi,CS,Morning,3.0,60.3,75.1,,Low,Instructor was very helpful
Chennai,Physics,Morning,7.9,35.7,,,Medium,Instructor was very helpful
Pune,Chemistry,Morning,3.4,86.5,56.0,67.2,Low,Would recommend to others
Mumbai,Biology,Morning,,32.9,,74.1,Low,Pace was too fast
Chennai,Math,Weekend,5.5,67.7,69.3,47.3,Medium,Would recommend to others
Chennai,Math,Evening,4.0,51.8,52.4,,Medium,Pace was too fast
Mumbai,CS,Evening,5.8,78.4,63.2,31.4,Medium,Could use more practice problems
Mumbai,Biology,Morning,3.7,88.8,71.7,56.9,Low,Need more visual aids
Chennai,Physics,Morning,32.3,62.1,45.9,48.1,High,Could use more practice problems
Chennai,Biology,Weekend,10.4,55.0,70.7,,High,Excellent teaching style
Bangalore,Biology,Morning,5.1,57.6,59.9,,High,Instructor was very helpful
Chennai,Chemistry,Morning,10.2,69.1,70.7,56.7,Low,
Delhi,Chemistry,Evening,2.6,48.7,53.5,60.9,Low,
Bangalore,CS,Weekend,2.1,69.1,66.2,40.2,High,Instructor was very helpful
Chennai,Biology,Morning,7.0,97.0,77.2,53.7,Medium,Would recommend to others
Bangalore,Biology,Weekend,27.9,55.4,73.1,75.7,Medium,Excellent teaching style
Pune,Chemistry,Morning,1.4,56.1,36.6,72.0,Medium,Would recommend to others
Mumbai,Math,Weekend,6.2,71.5,84.1,,Medium,Would recommend to others
Delhi,Math,Weekend,5.5,62.5,62.4,54.8,Medium,
Delhi,Biology,Evening,0.1,59.9,43.2,33.0,,"Great course, learned a lot"
Delhi,Biology,Weekend,11.2,47.8,62.0,,High,Excellent teaching style
Chennai,Math,Morning,3.7,48.6,64.8,90.3,Medium,Pace was too fast
Mumbai,Chemistry,Weekend,6.4,93.8,50.5,60.6,High,Materials were comprehensive
Mumbai,Physics,Evening,2.8,58.8,70.7,68.6,Medium,"Great course, learned a lot"
Delhi,Physics,Morning,1.0,60.9,53.1,65.1,Low,Need more visual aids
Bangalore,Biology,Weekend,1.3,58.6,30.1,37.5,Medium,Could use more practice problems
Pune,Physics,Evening,4.8,33.1,,46.9,Medium,Could use more practice problems
Delhi,Physics,Weekend,0.1,20.0,,68.2,High,Materials were comprehensive
Delhi,Physics,Evening,2.3,66.1,77.0,39.6,Medium,Need more visual aids
Bangalore,Biology,Evening,1.6,44.7,79.4,62.8,Medium,Excellent teaching style
Mumbai,CS,Weekend,9.2,34.4,,71.5,Medium,Need more visual aids
Mumbai,CS,Evening,1.5,44.1,56.5,56.5,High,Could use more practice problems
Bangalore,CS,Evening,21.1,41.3,54.9,80.7,Medium,Instructor was very helpful
Chennai,CS,Weekend,10.7,29.5,,42.2,Medium,Would recommend to others
Bangalore,Physics,Morning,1.4,20.4,,69.1,Low,Instructor was very helpful
Delhi,Math,Evening,1.2,73.0,35.1,68.4,High,Could use more practice problems
Pune,Biology,Morning,,79.1,85.4,36.9,High,Materials were comprehensive
Pune,Biology,Evening,34.0,49.2,55.8,79.3,,Excellent teaching style
Pune,Biology,Evening,,54.6,63.7,57.6,Low,Materials were comprehensive
Mumbai,Physics,Morning,1.6,65.0,39.9,34.5,Low,Would recommend to others
Pune,Biology,Morning,3.4,67.0,51.8,41.7,Medium,Could use more practice problems
Delhi,CS,Weekend,5.6,65.8,51.8,58.9,Medium,Excellent teaching style
Bangalore,Chemistry,Evening,6.0,46.3,52.0,59.3,Medium,Would recommend to others
Delhi,Chemistry,Weekend,15.8,88.1,59.1,70.4,Medium,Instructor was very helpful
Bangalore,Chemistry,Morning,,60.4,80.3,53.9,Medium,
Mumbai,Physics,Morning,6.5,63.3,57.7,43.5,Low,Instructor was very helpful
Chennai,CS,Morning,3.6,41.0,91.1,52.3,Medium,"Great course, learned a lot"
Delhi,CS,Morning,,93.8,49.5,40.9,Medium,Pace was too fast
Bangalore,Chemistry,Evening,0.8,75.1,45.3,58.5,Medium,Could use more practice problems
Pune,CS,Evening,16.4,88.4,75.5,44.8,High,Excellent teaching style
Delhi,CS,Evening,0.5,50.4,40.8,55.1,Low,
Mumbai,Chemistry,Morning,1.8,68.0,46.1,69.6,High,"Great course, learned a lot"
Chennai,Physics,Weekend,3.3,61.0,65.1,58.0,Medium,Would recommend to others
Mumbai,Biology,Evening,6.1,53.9,18.5,66.3,Low,Would recommend to others
Chennai,Biology,Evening,12.4,79.1,79.9,44.8,Medium,
Delhi,Biology,Weekend,5.1,30.5,,99.2,Medium,
Mumbai,Biology,Weekend,10.8,70.5,58.6,46.2,Low,Need more visual aids
Chennai,Biology,Evening,6.5,52.6,72.2,,Medium,
Pune,Physics,Weekend,,29.3,,50.3,Low,"Great course, learned a lot"
Pune,CS,Weekend,13.3,48.3,98.1,33.0,Low,
Bangalore,Math,Morning,10.4,49.2,73.9,37.8,Medium,Instructor was very helpful
Mumbai,Math,Morning,8.7,91.4,46.5,,High,Would recommend to others
Chennai,Physics,Morning,3.8,28.3,,,Medium,Would recommend to others
Delhi,Math,Weekend,11.5,42.9,85.2,98.8,High,Materials were comprehensive
Mumbai,Biology,Morning,11.1,31.6,,68.4,Medium,
Mumbai,Chemistry,Morning,0.1,65.9,46.2,87.4,High,Materials were comprehensive
Mumbai,CS,Weekend,2.9,43.5,74.4,32.5,Medium,"Great course, learned a lot"
Chennai,CS,Weekend,4.3,54.2,70.8,49.2,Medium,
Delhi,Physics,Morning,6.3,46.4,51.8,,High,"Great course, learned a lot"
Bangalore,Biology,Weekend,22.1,20.0,,55.9,Medium,"Great course, learned a lot"
Bangalore,CS,Evening,2.6,41.9,45.6,63.6,,Materials were comprehensive
Pune,Physics,Evening,0.2,56.2,44.1,74.4,Medium,"Great course, learned a lot"
Delhi,Chemistry,Morning,1.5,96.9,92.8,89.6,Medium,Would recommend to others
Pune,Chemistry,Weekend,7.9,57.5,37.1,34.2,Medium,Materials were comprehensive
Delhi,Math,Morning,0.8,53.0,53.2,80.6,High,Excellent teaching style
Delhi,Math,Morning,1.1,70.7,58.2,42.7,Medium,Would recommend to others
Delhi,Math,Weekend,8.6,20.0,,68.8,Low,Instructor was very helpful
Bangalore,CS,Evening,2.2,48.5,60.1,49.5,Medium,Would recommend to others
Chennai,Physics,Weekend,1.8,74.4,79.7,75.2,Medium,Materials were comprehensive
Pune,Physics,Morning,4.3,20.0,,36.5,High,Need more visual aids
Pune,Biology,Morning,13.8,68.8,60.3,,High,Would recommend to others
Bangalore,Chemistry,Evening,8.7,76.4,62.6,35.6,,"Great course, learned a lot"
Delhi,CS,Weekend,22.7,78.1,52.8,49.8,High,Pace was too fast
Bangalore,Biology,Morning,8.0,31.7,,60.0,Medium,Could use more practice problems
Bangalore,CS,Morning,0.8,32.8,,62.8,Low,"Great course, learned a lot"
Mumbai,CS,Evening,3.5,31.2,,62.2,Medium,Excellent teaching style
Chennai,Biology,Evening,0.6,54.2,69.5,,Low,Need more visual aids
Mumbai,Physics,Weekend,26.4,23.9,,51.3,Medium,Pace was too fast
Bangalore,Math,Morning,2.8,91.6,59.7,84.6,High,Instructor was very helpful
Pune,Math,Morning,0.6,58.8,59.3,,Medium,"Great course, learned a lot"
Pune,Chemistry,Morning,0.5,69.0,50.9,30.2,Low,Pace was too fast
Delhi,Physics,Morning,8.7,55.1,55.9,55.7,Low,Need more visual aids
Pune,Chemistry,Evening,3.3,50.3,59.1,30.0,Low,Excellent teaching style
Delhi,Math,Weekend,1.8,84.8,33.8,50.4,Medium,
Pune,Biology,Morning,,98.0,39.1,53.1,Low,Instructor was very helpful
Bangalore,Math,Evening,13.4,23.2,,38.2,Medium,Materials were comprehensive
Pune,Chemistry,Morning,5.2,89.7,97.7,52.0,Medium,Need more visual aids
Pune,Chemistry,Morning,2.0,38.2,,62.2,Medium,Could use more practice problems
Delhi,Biology,Weekend,2.4,64.3,50.3,57.8,High,"Great course, learned a lot"
Mumbai,Biology,Evening,6.7,29.3,,34.4,Medium,
Chennai,CS,Morning,8.0,66.2,68.4,65.0,Medium,Pace was too fast
Chennai,CS,Weekend,2.4,62.9,60.4,67.5,Medium,Materials were comprehensive
Mumbai,Chemistry,Morning,1.3,51.3,44.3,95.7,High,Pace was too fast
Delhi,Biology,Morning,1.3,20.0,,37.9,Medium,Could use more practice problems
Delhi,Biology,Evening,7.1,66.9,78.2,42.4,,Instructor was very helpful
Delhi,CS,Morning,12.6,34.9,,54.2,Medium,Could use more practice problems
Mumbai,Physics,Morning,1.4,49.5,86.7,67.9,Medium,Instructor was very helpful
Bangalore,Physics,Weekend,28.9,33.8,,72.5,High,Could use more practice problems
Bangalore,CS,Weekend,11.7,31.4,,72.7,Medium,Need more visual aids
Bangalore,Physics,Weekend,5.7,55.1,51.7,64.2,Medium,Instructor was very helpful
Delhi,Physics,Weekend,12.5,61.4,49.3,37.0,Medium,Excellent teaching style
Chennai,Biology,Weekend,,72.5,60.9,36.9,Medium,Excellent teaching style
Bangalore,Math,Weekend,1.0,40.4,50.0,62.7,Medium,
Delhi,Biology,Evening,0.6,45.2,60.1,88.2,Medium,Materials were comprehensive
Bangalore,CS,Evening,9.5,38.9,,55.3,Medium,Pace was too fast
Delhi,Biology,Morning,0.7,20.0,,40.4,Medium,
Mumbai,Physics,Weekend,6.2,77.7,61.3,77.5,Medium,Would recommend to others
Chennai,Chemistry,Evening,18.0,20.0,,65.6,,Pace was too fast
Chennai,Physics,Weekend,2.2,21.8,,71.8,,Pace was too fast
Mumbai,Physics,Morning,14.0,94.2,62.7,68.5,Medium,Instructor was very helpful
Mumbai,Chemistry,Evening,0.1,20.0,,,High,Materials were comprehensive
Mumbai,Biology,Evening,8.7,59.3,61.5,81.7,Medium,Pace was too fast
Chennai,Math,Weekend,8.3,91.5,95.8,70.4,Medium,
Mumbai,Physics,Morning,26.0,63.6,70.4,71.2,Low,Materials were comprehensive
Mumbai,CS,Evening,2.3,28.8,,75.5,High,Could use more practice problems
Bangalore,Physics,Weekend,7.4,20.0,,70.9,High,Would recommend to others
Delhi,Physics,Weekend,20.8,84.1,75.1,62.9,Medium,Instructor was very helpful
Delhi,Physics,Weekend,2.9,61.3,52.7,43.3,Medium,Pace was too fast
Bangalore,Chemistry,Evening,4.4,81.0,72.5,,High,Instructor was very helpful
Delhi,Chemistry,Weekend,6.2,66.7,53.4,59.5,Medium,Instructor was very helpful
Mumbai,CS,Morning,3.0,34.0,,56.1,Medium,Materials were comprehensive
Chennai,CS,Morning,8.1,67.3,56.7,48.6,Medium,Instructor was very helpful
Delhi,Physics,Evening,3.9,33.1,,53.0,,Could use more practice problems
Pune,Physics,Weekend,12.2,41.3,69.7,,Low,
Chennai,Biology,Morning,5.3,69.4,87.6,74.9,Low,Need more visual aids
Pune,Physics,Weekend,8.8,88.9,71.3,,Medium,Would recommend to others
Pune,Physics,Morning,15.5,53.5,67.6,57.8,Low,Need more visual aids
Chennai,CS,Morning,1.2,82.3,83.6,39.9,Low,Could use more practice problems
Pune,Physics,Weekend,0.3,32.2,,96.1,Medium,Excellent teaching style
Pune,Math,Weekend,1.9,39.7,,42.5,Medium,Instructor was very helpful
Delhi,Biology,Morning,8.0,22.5,,81.2,Medium,Excellent teaching style
Bangalore,Math,Morning,19.1,96.2,73.2,,High,Would recommend to others
Delhi,Biology,Weekend,5.0,93.3,74.6,74.3,Low,Instructor was very helpful
